Time	Point ID	Temperature	Displacement X
0.05	1	309.1177135	-0.000006046
0.05	2	305.0222334	-0.000004058
0.05	3	326.8698448	-0.000005922
0.05	4	334.58563	-0.000005733
0.05	5	332.302747	-0.00000553
0.05	6	334.8456442	-0.00000533
0.05	7	335.3531372	-0.000005124
0.05	8	335.8413071	-0.000004921
0.05	9	335.995666	-0.000004724
0.05	10	336.0217736	-0.000004536
0.0512	1	309.6016415	-0.000006152
0.0512	2	301.6094869	-0.000004775
0.0512	3	328.0194127	-0.000006011
0.0512	4	333.7432303	-0.000005799
0.0512	5	330.5098233	-0.000005593
0.0512	6	334.8303772	-0.000005391
0.0512	7	335.0808019	-0.00000518
0.0512	8	336.1082964	-0.000004975
0.0512	9	336.5544673	-0.000004776
0.0512	10	336.8958177	-0.000004587
