Time	Point ID	Temperature	Displacement X	X	Y	Z
0.05	1	309.118	-6.046e-06	0	0	0.0065
0.05	2	305.022	-4.058e-06	0.026	0	0.0065
0.05	3	326.87	-5.922e-06	0.00065	0	0.0065
0.05	4	334.586	-5.733e-06	0.0013	0	0.0065
0.05	5	332.303	-5.53e-06	0.00195	0	0.0065
0.05	6	334.846	-5.33e-06	0.0026	0	0.0065
0.05	7	335.353	-5.124e-06	0.00325	0	0.0065
0.05	8	335.841	-4.921e-06	0.0039	0	0.0065
0.05	9	335.996	-4.724e-06	0.00455	0	0.0065
0.05	10	336.022	-4.536e-06	0.0052	0	0.0065
0.0512	1	309.602	-6.152e-06	0	0	0.0065
0.0512	2	301.609	-4.775e-06	0.026	0	0.0065
0.0512	3	328.019	-6.011e-06	0.00065	0	0.0065
0.0512	4	333.743	-5.799e-06	0.0013	0	0.0065
0.0512	5	330.51	-5.593e-06	0.00195	0	0.0065
0.0512	6	334.83	-5.391e-06	0.0026	0	0.0065
0.0512	7	335.081	-5.18e-06	0.00325	0	0.0065
0.0512	8	336.108	-4.975e-06	0.0039	0	0.0065
0.0512	9	336.554	-4.776e-06	0.00455	0	0.0065
0.0512	10	336.896	-4.587e-06	0.0052	0	0.0065
